Описание,Решение,label
Маршрут № 18 не было автобуса 14:20-14:50 с остановки  Медицинский центр в направлении мкр. Целинный.,,0
 маршрут 22  на остановке Тепловой участок с 13 час  45 мин до 15 час 05 мин направление города нет автобуса,,0
"М/а 20, аялдама Алматы іскерлік үй  бағыт ТК Сарайшық,  күту уақыты 15:00-15:21, тұрғын қадағалауды талап етеді, танертен де кешкілік  уақытта осы жағдай м/а уақытылы қатынамайды.",,0
"51 маршрут _x000D_ время 15/24 _x000D_ 14010 код оплаты _x000D_ с остановки проспект Тауелсиздик в направление ЖК ""Орман парк"" в автобусе сильный запах солярки",,0
" Маршрут авт №45 в 15 час  -15 час 15 мин в этот промежуток № автобуса не знает, сел ЖК Bi city Tokyo направление  Анет баба,  зашел  контролер не понятной национальности, не понимает на русском ,ни на казахском языке, карта  пластиковая не срабатывала у моего сына 13 лет карта №4002430181,контролер взяла у него 200 тенге, мотивируя тем что не оплатил. Подала на виртуальную карты 29 января 2025 г, она не активна. Что за контролеров принимают на работу, мой сын владеет в совершенстве двумя языками: Каз, рус. Почему контролер берет наличные?У контролера в руках был аппарат для проверки",,0
"Контролер  крупного  тяжелого веса  женщина  зашла на  м/а  56  на   остановке     Қазақконцерт им. Розы Баглановой  в направления  ТРЦ Хан Шатыр      не  держится   при торможение автобуса,  она   лег  на меня я просто ее толкнула .Она отреагировала  повернулась и начала  возмущается  почему вы меня толкаете . Ответила  ей вы на меня легли   , она сказала автобус качает она  не виновата .Почему  контролер не  держится за  специальные  ручки .  Она  очень грубо со мной разговорила  на  повышенных тонах  и мне пришло тоже  разговаривать с ней . При этом даже  не  извинилась . А если бы был ребенок  она могла   бы  причинить боль ребёнку  . Она  вела  себя спокойно, как будто так  положено  ,что можно наваливается  на  пассажиров .Прошу  вас принять меры    по поводу моей  жалобы .",,0
"16-12 на остановке АП №1 по ул. Пушкина  в сторону рынка ""Биг Шанхай""   по шоссе Алаш  ожидают а/м №11  более 35 минут",,0
Маршрут №45  гос. номер 163 время 16:10  водитель проехал остановку  улица Амире Кашаубаева в направлении остановки  улица Доспамбет жырау.,,0
м/а-30 г/н554 не остановился на ост. ТЭЦ-1 в сторону левого берега  время  16.56 .,,0
"Я сегодня хотела приобрести транспортную карту в торговых павильонах iStop на двух точках ТД Коктем (направление Женис) и Медицинский Университет ( в сторону Кенесары), время 17.17. и оба закрыты. По какой причине? Указанные телефоны не отвечают. Примите меры.",,0
"58  маршрут  гос номер  892,  гаражный  номер А 985 аялдама Астана МОЛЛ, автобустың  алдыңғы  жанынан  кіре бергенде  аяғын  есікпен қысып  қалды,  аяғын  алып  үлгерді, жүргізуші  есікті  жауып алып  жүріп  кетті,  есікті  ашпады.  Автобус  Республика  бағытына қарай  кетті.  сағат  17. 20 шамасында. Жүргізушіге  шара  қолдануды  сұрайды.",,0
"№23 маршрут  на остановку Акмолинская областная больница №2 в сторону города подошли в 17:10. Сейчас 17:34, ни одного автобуса не было. Очень часто долго ждем. Примите меры.",,0
"51 автобус ,аялдама Назарбаев университет бағыт Аэропорт ,уақыт 17:45 ,номер 231 ВА автобуста аялдама атауын жариялайтын құрылғы жоқтығынан Канал Нура -Есил аялдамсын өтіп Пригородный ТА барып түстік, неге қолайсыз жағдайлар туындалуы тиіс",,0
"МА11. Время примерно 17.40 или 17.50. С остановки ЖК Жайна в направлении 1 городской больницы. Я оплатил проезд, зашел контролер Еркин или Ермек и я у него спросил, где можно пополнить тр. карту. Он разговаривал с водителем. На вопрос мой сказал, что я мешаю ему работать и вызовет полицию и вытащил меня с автобуса. Зашли с ним в 47, он снова начал проверку и с задней двери вышел и скрылся. Оплачивал за проезд с этой карты 1004608004. По какой  причине он так поступил? Я один раз спросил, где можно пополнить карту, так как ехать нужно было дальше. Номер автобуса не помню, посмотрите по времени.",,0
"Требую с остановки Назарбаев Университет сделать прямой  рейс   Астана арена и до Школа Зерде  что находиться по Толе би. Детям очень тяжело добираться. Во первых несколько пересадок Сойдут на Астана Арена и еще целый километр пешком идут в школу за Астана Арена .Не раз писала и просила.Нет никаких продвижений.Ребенок уже дважды пневмонией проболел. По снегу и дождю как вы думаете им добираться.Уже слов нет.СТС компания только в ушерб народу меняет движение автобусов.Одну молодежь наберут которые  не входят в положение детей. Решите уже проблему.Или нам  не пускать детей в честь противосстоянию вашему бездействию.Тут ездят  Бетономешалки,грузовые машины.Есть угроза здоровью детям.Я специально подаю заявку .В случае традегии именно с СТС компании мы родители школа Зерде будем спрашивать.Жду обратной связи и принятых мер  .",,0
"Маршрут № 304, номер Z083, время 18:52 водитель остановился на остановке Онкологический диспансер не доезжая остановки, то есть там стоял автобус и после него он остановился и не открыв двери уехал  в направлении остановки ТД Гульжан.",,0
"304 автобус ,остановка Онкологический диспансер в сторону пос Жибек жолы ,время 18:55, госномер  233CJ автобус подъехал на остановку ,остановился сзади другого автобуса ,подошел но дверь не открыл и уехал",,0
" м/а 42 мемлекеттік нөмір 494 уақыт 19:00 жүргізуші жағалау бағытында Қараменде би Шақалы аялдамасына келді . Жүргізуші есіктің ортасын ашып, 1 жолаушы түсуге шықты . Мен алдыңғы есіктің алдында тұрдым жүргізуші маған есікті ашпады .  Мен есікті қағып алдым жүргізуші бәрібір ашпады ол қатты ашуланып айқайлады .",,0
"М/а 10,  мемлектеттік № 495,  сағат 19:49 аялдама ЖД вокзал бағыт Есенберлин көшесі, шығатын кезде жүргузуші артқы есікті ашпады,  сосын стоп кнопкасын бастым ашпады, сосын дауысымды шығарып едім ашпады, ортанғы есікті стоп кнопкасын басқан соң ашты. Неге барлық есікті ашпайды, неге автобустағы жолаушыларды басып ортасына өтуіміз керек. Шара қолдануды сұрайды.",,0
МА47. Время 20.35. до 21.15. С остановки ЖК Уют в сторону Ж/М Юго Восток. По какой причине так долго нет автобуса? Накажите всех водителей за несоблюдение интервала. МА 54 4 раза проехал за это время.,,0
40 м/а 784CG01 с ост. Евразийский национальный университет в сторону левого берега в 21-33 маршрут не повернул на ост. Евразийский национальный университет. Маршрут не повернул на ул.Жирентаева а поехал прямо по ул.Кажымукана а следующий маршрут № 40 повернул на ул.Жирентаева. Просим принять меры,,0
"36 м/а Водитель Ибрагимов  грубит , кюар 22000 в направления Кургальжинской трассы ,  по времени 6-15,  жалоба на Водителя(. Не останавливается . сильные морозы не открывает двери .  настояла на жалобе )",,0
"Житель просит  наладить работу маршрутного  автобуса  4, в выходные  дни  автобусы мало ходят.",,0
"Маршрут № 4 не было автобуса   с 06:10-07:03 с остановки  проспект Тауелсиздик в направлении остановки  ТЦ Евразия, просит принять меры",,0
55 а нет на остановке  ул .  Кенесары в направлении НИИТО с 07-50  до 07-09,,0
"48 м/а, нет на остановке 2 ДГБ в направление города с 07-06  до 07-27",,0
"12 м/а кюар 13184,  проехал остановку Сарытогай  в направления Кабанбай батыра по времени 7-45",,0
" Водитель маршрута 12, кр  код 13184 объявил  о  том  что  больше  останавливаться не  будет на  остановке  Сарытогай в направление  пр  Кабанбай батыра, время 7.40 утра. Водитель ссылается  на  то  что  нет  знака  остановки. Просит рассмотреть обращение по возврату остановки.",,0
"11 м/а, водитель  подъехал на остановку пр. Аб. хана  притормозил не открыл двери поехал в направление ул. Пушкина, 07-59",,0
"маршрут автобуса 55 А не было на остановке Акмолинская областная больница №2  в направлении    проспект Тауелсиздик,  время 7.30-8.10",,0
Маршрут №321 кюар 11551 в 06:50 водитель Махамбетов  медленно ехал со скоростью 40-60 км/час с остановки ж/м Мичурино в направлении остановки Акмолинская областная больница №2.,,0
73 м/а от Ену в направлении 22 школы гимназии  проехал мимо Гос. номер: 597CQ01 8:12 в районе,,0
маршрут автобуса 18 гос. номер 344 не было на остановке НИИ травматологии и ортопедии  в направлении остановки  Пушкина не было по времени  7.41-8.23  пусть автопарк примет меры маршрут плохо ходит на линии со слов заявителя,,0
м/а-4  неотднакротные случаи выходные  ост. ЖК Махабат в сторону Коктал просим чтобы  по выходные дни автобус проезжал хотябы 07.00  сегодня он проехал 07.30,,0
"Маршрут №51 кюар 14236 в 08:40 с остановки ЖК Аламан в направлении остановки Дом Министерств, водитель был в наушниках, последнюю дверь не открыл я ему кричу он не слышит и мне пришлось подойти в среднюю дверь  и когда выходил ему еще раз крикнули он услышал и открыл последнюю дверь.",,0
 Маршрут №14 не было автобуса с 08:30-09:00 с остановки Школа-лицей №53 в направлении остановки Каныша Сатпаева.,,0
"80 м/а  кюар код 10653 , время 08:57 часов .  Ехал с ост  ЖК Отау по направлению  ул. Бурабай. Жалоба на водителя . Так как , в салоне автобуса не открывался окно .  Окна закрыто специально сделано , чтобы не открывали.  Прошу принять меры , при не принятии мер,  буду жаловаться  снова.",,0
18 маршрут _x000D_ Мемлекет саны:_x000D_ 272BO01_x000D_ уақыты 9/48_x000D_ жүргізуші аялдамадан өтіп кетті Қазақстан Республикасы Ішкі істер министрлігінің орталық ауруханасы Назарбаев университетінің аялдамасы бағытында тоқтамады,,0
47 м/а 9:12-9:52  автобус болмады Казахская национальная академия хореографии  аялдамасынан ЖК Экспо-Плаза,,0
"41м / а желіде болған жоқ, уақыты 09; 40 сағаттан 10:22 сағатқа дейін. Сарайшық ТК аялдамасы бағыты бойынша Орда базар аялдамасынан. Маршрутты ұзақ күту.",,0
"Доброе утро! По поводу мойки  автобусов Очень плохо моют в салоне  автобусы  25 маршрута  после смены . Не добросовестные  работники  на мойке работают. Кто нибудь проверяет салон автобуса после уборки? Утром, на первом круге , только полы чистые. А спинки сидений , печки  никто не вытирает. В частности , сегодня автобус  гос номер 892 время 7-25  остановка 15 лицей в направлении теплотранзит спинки сидений грязные. Обращение касается именно мойки, которая обслуживает 25 маршрут. Проверяйте автобусы после уборки!!!  Кол-во файлов: 2",,0
Маршрут № 41 не было автобуса с 09:55 - 10:30 с остановки Автобусный парк № 3 в направлении остановки Жансугурова.,,0
41  м/а не было на линии время с  09:40 часов до 10:33 часов . С остановки  Рынок  Кок по направлению ост  пр Жумабаева . Долгое ожидание маршрута .,,0
" 4 маршрут  кюар 11032. Остановка Наурыз в сторону  школа лицей 15,Время 07:30-07:55.Хочу выразить благодарность водителю этого маршрута за его чуткое отношение к пассажирам.внимательность. Входит в положение пассажиров.Ждет бегущего пассажира.Спокойный и терпиливый.Спасибо за его труд и терпение к пассажирам.",,1
"автобус №62  QR  10902 в 10:54 с остановки  Ақтамберді жырау в направлений Кошкарбаева в автобусе информатор остановок не работает, не объявляют остановки.",,0
"М/а 54,  аялдама Жумбақтас бағыт Н. Тлендиева данғылы қалаға қарай, күту уақыты  10:40-11:04",,0
"4 м/а  Гос. номер: 891CE01 проспект Тлендиева в направлении Жаннур  и за этот путь 5 контролеров сели ! Фамилия на Н. начинается , не дала прочитать фамилию! за 10 остановок 5 проверяющих! Что это такое? У них такая несогласованная работа и система! фамилия на Н  начинается , огрызается лет 35"" Перед пасссажирами не могла ответить почему так часто контролеры и начала мне грубить , я просто спросил!  С",,0
"No33 маршрут Агрогородок аялдамасынан Астана базары аялдамасы бағытында 10.30-11.12 автобусы болмады.,күні 01.02.2025 ж",,0
"49 м/а Я пришла на остановку Переулок Келешек, в 10:45 Стою в направлении остановки Казахский университет технологии и бизнеса. Сейчас время 11:17. автобуса до сих пор нет.",,0
"М/а 10, аялдама Астана Медициналық университет бағыт Д. Қонаев сол жақ жағалау, күту уақыты 10:47-11:17",,0
Салеметсиз Осы неге 63 автобус нашар журеді Выходные вообще плохо ходят Линияда 9 гана автобус,,0
"маршрут автобуса №26 киаркод 17386 в автобусе не работает средний валидатор, водитель не в курсе, народу очень много невозможно пройти к другому валидатору,  примите меры",,0
" Маршрут авт №11  гос №469 на остановке  школа 12 не остановился на посадку и высадку,даже не притормозил,мы сидели в теплой остановке ,увидев ,что подъезжает,собирались выйти на посадку,направление  тд Гульжан в 11 час 50 мин",,0
"62 маршрут _x000D_ Гос. номер:_x000D_ 953BW01_x000D_ время 12/06_x000D_ остановка Домалак ана в направление _x000D_ Акмешит, автобус проехал без остановки",,0
63 маршрут Останорвка Бином в сторону  Кулагер. Время 12:00-12:23 нет автобуса.Нет автобуса,,0
"Маршрут 53, 16477, время 11.03. остановка ""ABYROY направление левого берега. Контролер Мырзанов Б.Д. Стоял на передней части где не открывается дверь маршрута , я ехал 15 минут я не кому не мешал. Начел придираться ко мне хотя от водителя не было замечания. После долгих разговоров он пугал меня что оштрафует. После водитель попросил пройти в салон середину и я прошел. Хотя сам контролер стал на мое место и стоял. И это не первый раз , очень грубый . Угрожает штрафами за что ответь не может.",,0
"маршрут № 326 не было автобуса с 9.45-10.50 с остановки Акан Серы в направлении остановки  69-я улица Талапкер с. , ни в 10.00 ни в 10.30 автобуса не было , дата 01.02.2025г",,0
" маршр авт №52 Керея и Жанибека  аялдамада, мен 11 сағат 30 минуттан 12 сағат 30 минутқа дейін күттім бағыты ескі қала",,0
"326,306 11:30-12:49 автобус жоқ Акан Серы  аялдамасынан  ост. Талапкер бағытында",,0
"56 м/а  гос номер  623 . Стояла на ост  ул Е-16 по направлению ост  Дом Министерства.  Я бежала , водитель , не дождавшейся меня уехал , на улице холодно. Прошу сделать замечание водителю, чтоб вред , не уезжал , а ждал пассажиров.",,0
"Работает  только 4,5 касса. 1,2 касса  кассиры просто так ходят,не обслуживают население.Примите меры.И так постоянно.",,0
"№3 м\а, мемлекеттік номері 914CU01, Нұрлы-жол вокзалы аялдамасынан, қала бағытына қарай, 14:00 уақытымен, аялдамаға тоқтамай өтіп кетті.",,0
автобус №43 не был на остановке ЖК Денсаулык Бакыт  в направлений ЖК Турсын-Астана 1 с 13:35-14:05,,0
"37 м / а Алау Мұз сарайы аялдамасына келдім, сағат 13:17-де Маған кардиохирургиялық клиника бағытына бару керек болды. Автобус сағат 13:22-де жүрді. Мен аялдамада тұрдым, боранның салдарынан мен жан жағыма бұрылып қарап тұрдым, бораннан қорғанып, және бір-бірінен кейін келген 2 автобусты көрмедім. Менің автобусым екенін көргеннен кейін. Автобуска қол бұлғадым, ол маған қарап, өтіп кетті. Осыдан кейін маған 40 минуттай күтуге тура келді. Баламен бірге тұрдым аялдамада. Қазір сол автобустың артынан келе жатырмын. Мен басқа автобусқа отырдым. Қазір №37 автобус, мемлекеттік номері №623 бара жатырмын. Біз қатты қатып қалдық баламыз екуміз, бүйрегім қатты ауырады, баланың аяғы қатып қалды. Қайта қоңырау шалып, жауап беруіңізді сұраймын. Осы мәселе бойынша шаралар қабылдауды талап етемін.",,0
№ 1014439580 көлік картасы бойынша 01.09.2024ж көлік әмиянын 3 айлық жүру тарифына 20 мың баланс толтырған. Қателесіп 01.11.2024 ж тағы да 20 мың 3 айлық жол жүру тарифын салған.   01.12 күні Орталық кассаға  барып өтініш жасаған. Өтініші бойынша осы айда 01.02.2025 ж әлі де қолдану мүмкіндігі болу керек. Тариф неге қолданылмай тұр?,,0
"84 м/а Гос номер 379 Я стояла на остановке Улы дала  на пересини Проспект Улы Дала и Проспекта Туран. Подошла в 14:00 Мне надо было поехать в направлении остановки Городская детская инфекционная больница. Автобус приехал в 14:15-14:16 Водитель остановился не на остановке, а на второстепенной улице. Мы все стояли на остановке. Я это увидела, оббежала автобус. В это время он перед моим носом закрыл двери и уехал. Я подошла к автобусу вместе с ребенком. Я успела постучать дверь, но он все равно не открыл двери, посигналил и уехал. Прошу принять меры по данному поводу. Пусть проведут какую-нибудь работу. Я осталась с ребёнком на улице. На улице очень холодно.",,0
"На маршрутном автобусе 22А, рег.номер 580ВМ, сзади не обозначен указатель маршрута. Это выяснилось на остановке "" Астанатехнопарк"", по проспекту Республики, к направлению проспекта Богенбай Батыра 01.02.25 г, в 14.15 мин.",,0
"42 м/а 479 гос номер Памир аялдамасынан  ЖК Алтын Шар бағытындаа  есікті ашты да ,резко жацып тастады ,кішкенатй бала кіріп үлгермеді ! недеген сұмдық",,0
"_x000D_ Авт № 36 мемлекеттік № 879   14 сағат 22 минутта, мен  теміржол вокзалына-1 жеттім, мен құлаққап кидім, бір күн жұмыс істедім және ұйықтап кеттім, тікелей аялдамада  ояндым, бірінші есіктен шыққым келді, жүргізуші дөрекі айтты : екінші есікке шығыңыз, неге отырасыз, бәрі шығады.Бозарал аялдамасында отырдым.Дөрекілікке шағым",,0
"Жалоба. М/а 1, гос. № 492 CQ01, в 14:41  с ост. пункта м/он Самал направление гостиница Жасыбай,  при  высадке пассажир начал движение, водитель не смотрел в зеркала так как разговаривал по телефону через беспроводной блютуз.  Пассажир спускается, а автобус поехал заявитель чуть не упала еле удержалась. Примите меры в отношение водителя.",,0
"№30 м\а, гос.номер 572BM01, на остановке улица Акжол не открыл двери для выхода с маршрута, в направлении лесозавод Сусамыр, время 14:40, он притормозил на остановке улица Акжол. Мы хотели выйти и ожидали пока он откроет двери. Но водитель маршрута не открыл двери и уехал. Водитель открыл двери на следущей остановке.",,0
"М/а 44, гос.№ 504, конкретно не запомнила номер в 15:08 на ост. пункт ЖК Кулагер направление шоссе коргалжын, пассажир подошла к автобусу с ребенком стучала в двери крайние автобус не открыл дверь и уехал.",,0
маршрут автобуса №52  нету на остановки Керея и Жанибека в направлении остановки ТЦ Тулпар с 14.45-15.15,,0
МА 22 не было автобуса с 14:45 - 15:20 остановка ТД Гульжан в направлении остановки ж/м Железнодорожный.,,0
"_x000D_ 50-маршрут_x000D_ мемлекеттік нөмірі 110AT01_x000D_ уақыты 15/02_x000D_ «Бал Бала» балабақшасының аялдамасында «Көктал» саябағы бағытында жүргізуші баламен бірге жолаушының шығуын күтпестен есікті жауып, кенет қозғалған.",,0
"49 маршрут Остановка Алмалык в сторону  Бал бала. Время 15:00-15:30,Нет автобуса.",,0
"36 маршрут _x000D_ код оплаты 22000_x000D_ время 6/10_x000D_ на остановке Ж/д вокзал Астана 1 в направлении проспект Сарыарка_x000D_ Со стороны водителя не было нарушений, приехал вовремя и подъехал к остановке как подложено не конфликтовал ни с кем, порой пассажиры оставляют жалобы не обоснована, просим принять во внимание, потому что утром пассажир в салоне автобуса сама начала повышать тон на водителя. _x000D_",,1
"№55Б бағдар, мем/нөмір 501,  сағат 15-36 кеткенде  Кенесары аялдамасыңа тоқтамай Қабанбай батыр бағытыңа қарай кетіп қалды .",,0
"1012307276 3 айлық тариф алдым , бірінші  касссадан  карта алдым ,3 айлық тариф сол жерде салдым , 26.10 сосын айтты қай уақытта ыңғайлы сол уақытта сала беріңіз деді! Бірақ осы қаңтардың 13-і толтырылған 3 айлық абонементім тек қана март айына дейін жарамды ! Неге маған айтпады 15-нен кейін толтырып отыру керектігін ?  1 айға екі рет төлеп тұрмын. Сұрағанда да қызметкерлер жауап бермеді!",,0
"3 маршрут гаражный   А 695.Остановка  Школа 22 в строну  Жастар. Время 16:01 час. Стоял 3 секунды.Мы вышли с теплой  остановки, ,он производил посадку ,но  не подождал ,уехал.",,0
"30.01 күні сағ. 18.30 болған оқиға. Сарайшық көшесінде 18 маршрут дәл светофор алдына пробка жасап тұрып аллы, жасыл жанғанда өте алмай қиналдық, сол арада қызыл жанып аотында машина тез жүріп ұлымды қағып кете жаздады, шок тан енді есімді жиып отырмын. Неге водительдер пешеход жолына тұрып алады? Қашан тоқтайды жол ережесін бұзу? Солардығ кесірінен адамдарға зиян тиюде. Барлық водительдерге ҚАТАЛ ЕСКЕРТУ ЖАСАҢЫЗДАР!!! @ikomek109 Автобустың qr кодын кайдан білем мен? Ішіне кірген жоқпынғой, светофор алдында тұрдым касымда бала, жан жақта машина номердіде көре алмайсың. Министерстводан келе жатыр Қабанбай батыр көшесі бағытына қарай. Жалпы барлық жүргізушіге ескерту жасалу керек “ Тұрмасын пешоход жолына, пробка болып асығып тұрсада”!!! Бұл адам өмірі!!! Олар асықты екен деп жолдан өте алмау керекпізбе, недеген қателік.",,0
"м/а-14 г/н-574 на меленьких улицах  ездит с большой скорость не доезжая на ул. Сатпаева  нарушает ПДД я подошел к водителю и сказал что он нарушает выехал на встречную полосу, водитель на меня посмотрел и ехидно засмеялся. Что за безобразие прошу провести беседу с водителем  время  16.40 Сатпаева -26 в сторону Момышулы ехал._x000D_",,0
"№61 маршрут бойынша сағат 16.00-16.57 аралығында Шыңғыс Айтматов аялдамасынан Сауран аялдамасы бағытында автобус болған жоқ, 01.02.2025 ж.",,0
"М/а 49, 18418,  с ост. пункта Бал бала направление ЖК Рио, только зашли с ребенком в автобусе скользко не успели сесть и контролер фамилия Кокебай начала кричать платите быстрее торопила салон автобуса свободный, пассажир сказала сейчас сяду и оплачу, контролер с гонором в голосе требовала оплатить. Примите меры в отношение контролера проведите разъяснительную работу чтобы соблюдали культуру и вежливость в отношение пассажиров.",,0
"марш №60 на остановке ЖК Jetisu.Lepsi ПОДБЕЖАЛ   к двери в середине автобуса, водитель закрыл  передо мной и уехал направление Мангилик Ел в 17 час 02",,0
"М/а 71,  кьюар код 10827, в 17:07  фамилия водителя Нурсолтанов Б.К, м-он Отау направление пр. Р. Кошкарбаева, подходя к автобусу водитель резко закрыл автобус чуть не зажав дверьми, затем открыл дверь,  войдя автобус водитель начал ругаться, разговаривал на ты грубил сказал смотри по сторонам, на следующем остановочном пункте не открыл двери требовал показать оплату, очень грубое отношение к пассажирам. Примите меры.",,0
